app_id,name,playtime_hours,last_played,achievements_total,achievements_unlocked,achievements_pct,avg_global_unlock_pct,rarity_floor,has_multiplayer_achievement,hltb_main_hours,hltb_completionist_hours,completionist_ratio,hltb_found
35720,Trine 2,0.0,0,97,0,0.0,13.665979381443298,1.3,False,8.19,23.23,2.8363858363858365,True
38220,Section 8,0.0,0,0,0,0.0,0.0,0.0,False,3.03,4.93,1.627062706270627,True
38400,Fallout,0.0,0,0,0,0.0,0.0,0.0,False,16.2,32.07,1.9796296296296296,True
39150,FINAL FANTASY VIII,52.11666666666667,1484303727,45,19,0.4222222222222222,22.231111111111108,1.5,False,38.29,75.57,1.9736223557064507,True
39210,FINAL FANTASY XIV Online,5.133333333333334,1662401396,0,0,0.0,0.0,0.0,False,0.0,0.0,1.0,False
39650,The Guild II,0.03333333333333333,1381322759,0,0,0.0,0.0,0.0,False,12.5,48.8,3.904,True
39690,ArcaniA,0.0,0,0,0,0.0,0.0,0.0,False,15.41,33.09,2.147306943543154,True
40300,Risen,0.08333333333333333,1475329939,50,0,0.0,6.318000000000001,1.1,False,28.04,45.97,1.6394436519258202,True
40390,Risen 2 - Dark Waters,0.0,0,49,0,0.0,23.363265306122454,1.9,False,0.96,1.61,1.6770833333333335,True
40800,Super Meat Boy,6.25,1476452647,48,1,0.020833333333333332,6.2729166666666645,1.3,False,9.19,45.75,4.978237214363439,True
41000,Serious Sam HD: The First Encounter,0.31666666666666665,1379326526,35,1,0.02857142857142857,6.631428571428571,1.9,True,6.21,19.94,3.210950080515298,True
41010,Serious Sam HD: The Second Encounter,0.0,0,70,0,0.0,11.155714285714273,9.8,True,7.4,23.0,3.108108108108108,True
41070,Serious Sam 3: BFE,2.1166666666666667,1383502410,62,7,0.11290322580645161,19.32096774193548,2.3,True,10.05,28.81,2.8666666666666663,True
41100,Hammerfight,0.05,1379225120,0,0,0.0,0.0,0.0,False,4.21,11.75,2.790973871733967,True
